"alpha","mbar","anisotropy","skew","L","class"
0.03,-0.4,0.467509863755799,-0.000231931976675119,3176744.86449882,"stripes"
0.03,-0.2,0.200134918678949,-0.000150104624065013,1928181.38503033,"labyrinth"
0.03,0,0,0,1.00025706719314,"labyrinth"
0.03,0.2,0.243706054684018,8.77748818275217e-05,2085647.00673681,"labyrinth"
0.03,0.4,0.948050277035153,0.000124578770084038,3091817.40264568,"stripes"
0.06,-0.4,0.870267364313808,0.000432618586646038,3086296.80222375,"stripes"
0.06,-0.2,0.294853546373785,-0.000130688127371623,2031509.34258737,"labyrinth"
0.06,0,0,0,1.00025706718877,"labyrinth"
0.06,0.2,0.209177091103457,-0.000204028493015621,1983388.96168676,"labyrinth"
0.06,0.4,0.193676086004211,0.000110357344955704,3199382.3143546,"labyrinth"
0.09,-0.4,0.0205387128069164,0.000434764107307229,3018883.97492206,"labyrinth"
0.09,-0.2,0.38420651646047,0.000133345250464667,2127644.38601088,"labyrinth"
0.09,0,0,0,1.00025706717528,"labyrinth"
0.09,0.2,0.319598472635977,-0.000339705585313969,2166688.8080263,"labyrinth"
0.09,0.4,0.588702738110143,-0.000216037647609373,3274322.30487362,"stripes"
0.12,-0.4,0.114482869040059,0.000329253711291688,3169033.21424806,"labyrinth"
0.12,-0.2,0.838313984912522,-0.000159910751480812,2406629.66848205,"stripes"
0.12,0,0,0,1.00025706714684,"labyrinth"
0.12,0.2,0.880182397466565,-6.58536113562606e-05,2257839.05197942,"stripes"
0.12,0.4,0.723198981785852,-0.000631276803209357,3339906.48506437,"stripes"
0.15,-0.4,0.385765177116057,0.000319966435779248,2894884.78059115,"labyrinth"
0.15,-0.2,0.425470611970595,0.00106106542680633,2161426.32892041,"stripes"
0.15,0,0,0,1.00025706698246,"labyrinth"
0.15,0.2,0.861995667563734,-0.000791238477285134,2295870.46462633,"stripes"
0.15,0.4,0.882166912463679,-0.000123113876084066,3461278.18794437,"stripes"
