"t","mass","E","L"
0,-2.78015036243245e-19,9.86915170874168,0.0788455678431812
0.1,3.63611938779864e-21,9.86958716366195,0.385234740926828
0.2,-9.89675648441223e-21,9.86959825183941,0.482883106970618
0.3,2.09317134916974e-20,9.86960152168854,0.54417572717146
0.4,-4.74691380857098e-21,9.86960285141974,0.600190288741848
0.5,7.71741129720585e-21,9.86960347620919,0.658783129989858
0.6,2.78079740148938e-21,9.86960380181497,0.718196646846027
0.7,1.54245287912333e-20,9.86960398777448,0.773349519142246
0.8,8.88649322961413e-21,9.86960410298059,0.820205998978568
0.9,-2.076407155422e-21,9.86960417931978,0.857525115258193
1,-1.95141097396954e-21,9.86960423257906,0.886256088663622
1.1,-1.15437649929623e-22,9.86960427115358,0.908212997941993
1.2,1.1756993773087e-21,9.86960429984376,0.925164927329434
1.3,7.07037224027548e-21,9.86960432158885,0.93849363370842
1.4,-4.01164215296828e-21,9.86960433829687,0.9491752683062
1.5,1.18966953876515e-21,9.86960435126599,0.957872820185559
1.6,6.24392689937805e-21,9.86960436141216,0.965036514782219
1.7,-2.57308315878162e-21,9.86960436939864,0.970979685232107
1.8,-6.36745253751931e-21,9.86960437571664,0.975929540673532
1.9,1.53671776020962e-21,9.86960438073473,0.980058472647699
2,3.37747035001096e-21,9.86960438473385,0.983502705212807
2.1,2.32566424667131e-21,9.86960438792944,0.98637325899569
2.2,2.12070727267206e-21,9.86960439048903,0.988762467269227
2.3,5.75350070509106e-23,9.86960439254287,0.990747985314116
2.4,4.35630074153204e-21,9.86960439419355,0.992395452813161
2.5,9.06222315530317e-23,9.86960439552198,0.993760399438752
2.6,-3.0311574002221e-22,9.86960439659225,0.994889749645761
2.7,4.73882582035935e-22,9.86960439745514,0.995823043958223
2.8,-5.62298998622158e-22,9.86960439815146,0.996593506596465
2.9,2.53668721182929e-23,9.86960439871372,0.997228975060981
3,1.9401980812216e-22,9.869604399168,0.997752698422183
3.1,-2.47694638981157e-22,9.86960439953499,0.998184044462626
3.2,3.89234432684675e-22,9.86960439983184,0.998539112492967
3.3,5.53291920841025e-23,9.8696044000718,0.998831259988596
3.4,-1.10290748340401e-23,9.86960440026596,0.999071542076472
3.5,5.52786421577798e-22,9.86960440042298,0.99926910413769
3.6,-1.39104206344334e-22,9.86960440054994,0.999431499415078
3.7,-2.61021437738955e-23,9.86960440065284,0.999564957531168
3.8,-2.29312847591089e-23,9.86960440073625,0.999674616751078
3.9,-5.46123022198899e-22,9.86960440080369,0.999764707721268
4,4.14509395846017e-22,9.8696044008583,0.999838711862375
4.1,-1.10359680058116e-22,9.86960440090243,0.999899495289687
4.2,-1.71800817779416e-22,9.8696044009382,0.999949415727991
4.3,2.66742770309114e-22,9.86960440096713,0.999990411700784
4.4,-5.91434137975415e-23,9.86960440099057,1.00002407788686
4.5,1.86391364695282e-22,9.86960440100953,1.00005172313413
4.6,3.33629513729721e-23,9.86960440102506,1.0000744227238
4.7,-8.09258365947712e-23,9.86960440103738,1.00009306138473
4.8,2.1162037337815e-23,9.86960440104749,1.00010836646697
4.9,2.50451907689667e-24,9.86960440105571,1.00012093311614
5,-1.69457139377183e-23,9.86960440106258,1.00013125116442
5.1,-1.4969671363286e-23,9.86960440106771,1.00013972274903
5.2,-8.01905649391685e-24,9.86960440107196,1.00014668111045
5.3,1.69399696279089e-23,9.86960440107577,1.00015239409885
5.4,4.83785772147333e-23,9.86960440107924,1.00015708926427
5.5,-7.94840148326128e-23,9.86960440108177,1.00016094422142
5.6,-3.85787846799037e-23,9.86960440108349,1.00016411088902
5.7,1.09624408402514e-22,9.86960440108527,1.0001667199427
5.8,-2.10356625220082e-23,9.86960440108644,1.00016886016268
5.9,4.34557037080809e-23,9.86960440108768,1.00017061497495
6,-1.61731042683545e-23,9.86960440108801,1.00017205125078
6.1,3.07521625646016e-23,9.86960440108847,1.00017322581109
6.2,4.16663512024541e-23,9.86960440108914,1.00017418667687
6.3,-6.87593884184704e-24,9.86960440108936,1.00017497298711
6.4,-4.11579797843225e-24,9.8696044010894,1.00017561603961
6.5,2.10816170004834e-24,9.8696044010894,1.00017614218516
6.6,3.45031968701372e-23,9.86960440108939,1.00017657265124
6.7,-1.77657141630096e-23,9.86960440108939,1.00017692487481
6.8,6.87881099675174e-25,9.86960440108938,1.00017721301954
6.9,3.43366118856647e-24,9.86960440108938,1.00017744875612
7,-7.64280420140141e-24,9.86960440108937,1.00017764158414
7.1,-3.2555875844752e-24,9.86960440108937,1.00017779938297
7.2,1.17040312366444e-24,9.86960440108937,1.00017792847351
7.3,4.85394178893964e-25,9.86960440108937,1.00017803406887
7.4,-1.41597236801612e-24,9.86960440108937,1.00017812046261
7.5,5.06217301953024e-25,9.86960440108936,1.00017819114947
7.6,-3.30728637275976e-24,9.86960440108936,1.00017824897428
7.7,3.6892829750846e-24,9.86960440108936,1.00017829627532
7.8,-3.71226021432218e-24,9.86960440108936,1.00017833497706
